colour
"bone/black , grey/marl/navy , lime/surf , white/black , white/emerald , white/maroon , white/navy , white/red , white/royal , white/surf , white/dark/marl , white/navy/marl , "
"bone/black , grey/marl/navy , white/black , white/emerald , white/maroon , white/navy , white/red , white/royal , white/dark/marl , white/navy/marl , "
"black , navy , white , hot/pink , lime , teal , azure , stone , emerald/green , bone , bottle/green , turquoise , gold , grey/marl , maroon , ice/blue , orange , red , snow/marl , royal/blue , yellow , olive , dusty/pink , brown , aqua , pier , old/gold , purple , charcoal , sky/blue , earth , fruit/green , coral/red , fuchsia , dusty/blue , "
"black , navy , white , hot/pink , lime , teal , azure , stone , emerald/green , bone , bottle/green , turquoise , gold , grey/marl , maroon , ice/blue , orange , red , snow/marl , royal/blue , yellow , olive , dusty/pink , brown , aqua , pier , old/gold , purple , charcoal , sky/blue , earth , fruit/green , coral/red , fuchsia , dusty/blue , "
"navy , white , black , grey/marl , royal/blue , "
"black , grey/marl , navy , white , fruit/green , lemon , azure , red , "
"azure , black , emerald/green , grey/marl , navy , new/charcoal , red , royal/blue , white , grape , hot/pink , yellow , "
"azure , black , bottle/green , emerald/green , grey/marl , maroon , navy , orange , new/charcoal , red , royal/blue , white , yellow , "
"white , black , navy , "
"white , black , "
"black/gold , black/red , bone/black , grey/marl/navy , navy/grey/marl , navy/yellow , red/black , white/black , white/emerald , white/navy , white/red , white/royal , yellow/navy , white/dark/marl , white/navy/marl , "
"black/grey/marl , brown/bone , grey/marl/navy , navy/sky , white/red , "
"black , grey/marl , pink , red , white , "
"aqua , black , navy , new/pink , white , "
"black , white , "
"black/white , brown/bone , emerald/white , grey/marl/navy , navy/white , pink/brown , red/white , royal/white , sky/white , surf/navy , white/black , white/navy , white/orange , white/royal , white/red , "
"blue/marl , charcoal/marl , green/marle , red/marl , sapphire/marl , "
"blue/marl , green/marle , charcoal/marl , red/marl , sapphire/marl , "
"coral/red , grape , grey/marl , aqua , new/lime , fresh/mint , ice/blue , navy , new/charcoal , dark/royal , fruit/green , red , lilac , black , white , lemon , sky/blue , "
"azure , black , brown , cool/pink , emerald/green , grey/marl , mint , navy , new/charcoal , olive , orange , pacific/blue , pink , red , royal/blue , ice/blue , white , yellow , "
"black , coral/red , fresh/mint , grape , grey/marl , navy , white , "
"azure , black , brown , charcoal/marl , emerald/green , grey/marl , navy , orange , pink , red , ice/blue , tulip , white , "
"coral/red , grape , grey/marl , white , black , navy , new/charcoal , dark/royal , aqua , fruit/green , red , lilac , new/lime , lemon , fresh/mint , ice/blue , sky/blue , "
"azure , black , brown , butter/cup , chestnut , dusty/blue , dusty/pink , emerald/green , grey/marl , ice/gray , khaki , navy , new/charcoal , olive , pacific/blue , red , royal/blue , stone , titan , white , yellow , ice/green , "
"black , cool/pink , emerald/green , sky/blue , white , "
"black , white , "
"black , white , "
"black , dark/charcoal , charcoal/marl , emerald/green , grey/marl , mud , navy , pacific/blue , white , red , "
"black , coral/red , grape , new/charcoal , white , "
"azure , black , navy , new/charcoal , red , white , "
"azure , black , navy , new/charcoal , red , white , "
"azure , black , fruit/green , new/charcoal , new/grape , red , soft/yellow , white , navy , "
"azure , black , fruit/green , new/charcoal , new/grape , red , soft/yellow , white , navy , "
"azure , black , emerald/green , navy , pink , red , tulip , white , "
"black , grey/marl , white , "
"black , emerald/green , grey/marl , navy , white , "
"black , emerald/green , fresh/mint , navy , white , azure , tulip , "
"black/white/red , grey/black/white , navy/white/gold , white/red/navy , "
"black/gold , navy/red , navy/white , royal/white , "
"black , bottle/green , navy , royal/blue , snow/marl , white , gold , "
"black , bottle/green , gold , grey/marl , maroon , navy , red , royal/blue , sky/blue , snow/marl , white , "
"black , bottle/green , gold , maroon , navy , red , royal/blue , sky/blue , white , "
"bone/blue , navy/sky , pink/black , white/olive , "
"black/grey , black/red , new/charcoal/orange , navy/sky , white/royal , "
"black/grey , black/red , new/charcoal/orange , navy/sky , white/royal , "
"black/white , khaki/navy , navy/white , pacific/blue/white , red/white , white/black , white/red , "
"black/white , khaki/navy , navy/white , pacific/blue/white , red/white , white/black , white/red , "
"white/navy , navy/white , "
"black , brown , charcoal , lime , olive , pink , sapphire , steel/blue , stone , "
"brown , lime , pink , sapphire , "
"black , grape , navy , red , white , "
"black , grape , navy , red , white , "
"black/gold , black/red , black/white , bottle/green/gold , maroon/white , navy/red , navy/sky , navy/white , royal/gold , royal/white , white/navy , "
"black/gold , black/red , black/white , navy/red , navy/white , royal/white , white/navy , "
"black/gold , black/red , grey/marl/black , navy/surf , white/navy , "
"black/gold , black/lime , black/red , charcoal/orange , orange/navy , red/white , royal/white , yellow/navy , "
"black/gold , black/lime , black/red , charcoal/orange , red/white , royal/white , "
"black/grey , emerald/white , ocean/blue/sky , orange/white , red/white , sky/ocean/blue , white/emerald , "
"black/grey , emerald/white , ocean/blue/sky , orange/white , red/white , sky/ocean/blue , white/emerald , "
"orange/navy , yellow/bottle/green , yellow/navy , "
"orange/navy , yellow/bottle/green , yellow/navy , "
"blue , white , "
"blue , white , "
"black , blue , maroon , "
"black , blue , maroon , "
"blue , white , "
"white , blue , "
"beige , black , charcoal , dark/brown , ice/gray , navy , olive , red , royal/blue , white , "
"beige , black , charcoal , dark/brown , ice/gray , navy , olive , red , royal/blue , white , "
"beige , black , charcoal , dark/brown , ice/gray , navy , olive , red , royal/blue , white , "
"beige , black , charcoal , dark/brown , ice/gray , navy , olive , red , royal/blue , white , "
"black , grape , khaki , lime , mid-blue , navy , white , "
"black , grape , khaki , lime , mid-blue , navy , white , "
"black , grape , khaki , lime , mid-blue , navy , white , "
"orange/navy , yellow/navy , "
"orange/navy , yellow/navy , "
"orange/navy , yellow/navy , "
"black/white , chocolate/white , white/blue , white/red , "
"black/white , chocolate/white , white/blue , white/red , "
"black/white , chocolate/white , white/blue , white/red , "
"black/white , chocolate/white , white/blue , white/red , "
"azure , black , bottle/green , brown , charcoal , coral/red , emerald/green , gold , grape , grey/marl , hot/pink , khaki , lime , maroon , navy , pink , red , royal/blue , sky/blue , snow/marl , white , "
"azure , black , bottle/green , brown , charcoal , coral/red , emerald/green , gold , grape , grey/marl , hot/pink , khaki , lime , maroon , navy , pink , red , sky/blue , white , snow/marl , royal/blue , "
"black , brown , grey/marl , navy , snow/marl , white , royal/blue , red , bottle/green , "
"black/gold , black/red , black/white , grey/marl/kelly/green , grey/marl/red , grey/marl/royal/blue , grey/marl/navy , navy/sky , navy/white , "
"black/gold , black/red , black/white , grey/marl/kelly/green , grey/marl/red , grey/marl/royal/blue , grey/marl/navy , navy/sky , navy/white , "
"black , grey/marl , navy , "
"azure , beige , black , bottle/green , brown , charcoal , coral/red , emerald/green , gold , grape , grey/marl , hot/pink , khaki , lime , maroon , navy , pink , red , royal/blue , sky/blue , white , "
"azure , beige , black , bottle/green , brown , charcoal , coral/red , emerald/green , gold , grape , grey/marl , hot/pink , khaki , lime , maroon , navy , pink , red , royal/blue , sky/blue , white , "
"azure , beige , black , bottle/green , brown , charcoal , coral/red , emerald/green , gold , grape , grey/marl , hot/pink , khaki , lime , maroon , pink , red , royal/blue , sky/blue , white , navy , "
"hot/pink , lime , yellow , "
"hot/pink , lime , yellow , "
"black/azure , black/gold , black/red , black/white , emerald/white , gold/bottle/green , grey/marl/navy , maroon/gold , navy/red , navy/sky , orange/white , red/white , royal/white , new/charcoal/orange , grey/marl/lime , "
"black/white , royal/white , red/white , navy/sky , "
"black/azure , black/gold , black/red , black/white , emerald/white , gold/bottle/green , grey/marl/navy , maroon/gold , navy/red , navy/sky , orange/white , red/white , royal/white , new/charcoal/orange , grey/marl/lime , "
